specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
413269620745594880,0.07246289,GALAXY,,1177.4,29.21882,-0.5293303,2.604691,26.44753,0.905154,10.15381,11.21777,0.03426394
413278416838617088,0.06294216,GALAXY,,1177.4,22.63772,-0.3536663,39.83413,31.14177,1.375658,0.781786,0.5682995,0.02614157
1191306322444838912,0.204809,QSO,STARBURST BROADLINE,1177.4,2409.323,-16.9973,1124.563,755.3818,0.3135245,0.6717112,2.142452,0.02150116
1192387144019109888,0.2527351,QSO,BROADLINE,1177.4,2892.682,-12.84545,1262.231,1366.708,0.4724707,1.082772,2.291722,0.04490913
1392908930283235328,0.1807287,GALAXY,,1177.4,289.9603,-2.628795,245.5759,0.7705069,0.002657284,0.003137551,1.180736,0.02854004
1432292890842785792,0.05076645,GALAXY,,1177.4,50.46987,-0.4699351,52.84549,48.70022,0.9649365,0.9215587,0.9550459,0.02436521
2258725145990424576,0.1863378,QSO,STARBURST BROADLINE,1177.4,1308.8,-11.47021,680.9434,615.4768,0.4702603,0.903859,1.92204,0.01489416
2269831043483723776,0.1829528,QSO,STARBURST BROADLINE,1177.4,1984.522,-7.393268,1265.194,2392.272,1.205465,1.890834,1.568551,0.01161656
2509763997398493184,0.1674174,QSO,BROADLINE,1177.4,759.5152,-10.45688,464.8255,307.9158,0.4054109,0.662433,1.633979,0.02117208
2514297833964726272,0.09969537,QSO,BROADLINE,1177.4,568.3914,-4.384429,499.6391,514.6418,0.9054357,1.030027,1.137604,0.02095873
2635857088957409280,0.051523,GALAXY,,1177.4,37.60495,-0.4526071,39.17754,33.25378,0.8842926,0.848797,0.9598599,0.02354283
439167790876747776,0.06408318,GALAXY,,1177.4,14.40732,-0.2624714,19.28309,9.788115,0.6793849,0.5076008,0.7471476,0.02952423
3101957673059379200,0.08377949,QSO,BROADLINE,1177.4,767.4379,-7.840153,462.054,544.0389,0.7089028,1.177436,1.660927,0.02384765
3118829129282119680,0.05456431,GALAXY,,1177.4,61.39754,-0.4420483,61.77549,64.85787,1.056359,1.049897,0.9938819,0.02247991
