specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
1536957328060868608,0.1437301,QSO,BROADLINE,1177.4,2177.18,-8.205224,1118.539,1974.528,0.9069203,1.765274,1.946449,0.01563415
1554990693598914560,0.08168268,QSO,BROADLINE,1177.4,1508.802,-12.61329,708.8468,458.6283,0.3039684,0.6470062,2.128531,0.01165435
1801539683470043136,0.190513,QSO,BROADLINE,1177.4,367.7924,-4.141082,361.988,236.8772,0.6440513,0.6543786,1.016035,0.02776245
2187751668907534336,0.1269882,QSO,BROADLINE,1177.4,942.4144,-5.208287,564.974,752.4831,0.798463,1.33189,1.668067,0.01675888
2289095306417039360,0.2848447,QSO,AGN BROADLINE,1177.4,3167.782,-16.67516,1516.804,1063.173,0.3356205,0.7009295,2.088459,0.01505516
2434234152082499584,0.2161547,QSO,STARBURST BROADLINE,1177.4,4474.285,-20.94106,1869.44,1615.985,0.3611717,0.864422,2.393383,0.06868968
2568219256332249088,0.06521195,QSO,STARBURST BROADLINE,1177.4,2226.578,-11.93965,868.7341,4260.281,1.913376,4.90401,2.563015,0.0230756
2990470492151900160,0.05100756,GALAXY,,1177.4,76.85601,-0.5936761,57.85275,71.42719,0.9293637,1.234638,1.328476,0.02598047
658752634580133888,0.1058275,QSO,STARBURST BROADLINE,1177.4,4298.79,-31.98537,1945.137,928.6484,0.2160255,0.4774205,2.210019,0.02938451
695862251898300416,0.0666587,GALAXY,,1177.4,12.96903,-0.1499407,12.3488,35.26849,2.719439,2.856027,1.050226,0.01276868
811870077480626176,0.06078022,GALAXY,,1177.4,22.32348,-0.2951777,13.87846,41.1304,1.842473,2.963615,1.608499,0.04847138
1008933353610569728,0.05427433,GALAXY,BROADLINE,1105.34,69.07693,-0.6654313,59.77706,61.95053,0.8968338,1.03636,1.155576,0.02707811
