#Table1
specobjid,z,ra,dec,plate,mjd,fiberid,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
738667890496006144,0.4236842,10.592888,-10.628805,656,52148,282,1177.4,1365.047,-12.31159,651.0966,472.5421,0.3461726,0.7257633,2.096536,0.02947504
635137052265965568,0.5112072,130.76239,3.0385829,564,52224,471,1177.4,2766.907,-16.15146,1190.82,529.0925,0.1912216,0.4443092,2.323531,0.03008878
523709240104216576,0.5496119,63.042415,-5.1859044,465,51910,603,1177.4,799.0661,-11.59554,408.7592,3134.304,3.92246,7.667851,1.954858,0.0680838
2730428839569156096,0.5659922,127.78915,14.58026,2425,54139,442,1177.4,422.1902,-7.778267,262.1238,506.2195,1.199032,1.931223,1.610652,0.04197626
623900589427812352,0.4736708,141.30987,54.740862,554,52000,553,1177.4,961.0248,-8.415974,536.0227,1027.885,1.069571,1.917614,1.792881,0.02523354
522575918460332032,0.5702274,60.454082,-5.6823991,464,51908,576,1177.4,367.0603,-3.915135,323.8767,148.7329,0.4052001,0.4592269,1.133334,0.0965671
1009998780595988480,0.5136945,133.39271,43.817314,897,52605,242,1177.4,1483.066,-16.58844,669.5095,249.2819,0.1680855,0.372335,2.215153,0.03365997
963784103394568192,0.4271503,210.1332,4.0826777,856,52339,50,1177.4,2298.788,-19.17619,998.02,709.0454,0.3084432,0.7104521,2.303349,0.03264315
2828420609975805952,0.5215923,179.22042,17.765032,2512,53877,582,1177.4,673.3281,-6.979514,302.8383,278.7357,0.4139671,0.9204111,2.223392,0.04497579
370579708397512704,0.4580766,177.30804,-1.7483322,329,52056,577,1177.4,1135.089,-15.52481,561.2687,818.7128,0.721276,1.458682,2.022363,0.02008798
2934264001959323648,0.552017,204.00838,17.420307,2606,54154,614,1177.4,1450.117,-9.709053,733.9569,359.146,0.2476668,0.4893284,1.975753,0.02188222
560726774195972096,0.4614837,212.74052,64.552972,498,51984,104,1177.4,462.6565,-10.74795,197.1892,231.4059,0.5001677,1.173522,2.346257,0.01426796
1907422934511675392,0.5119441,191.72514,13.219642,1694,53472,540,1177.4,1848.843,-16.54789,642.0489,390.2738,0.2110908,0.6078568,2.879598,0.0279867
2076190283967522816,0.5256413,226.365,29.788438,1844,54138,112,1177.4,717.105,-6.350803,393.4597,421.6413,0.5879771,1.071625,1.822562,0.02177914
