specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3,log_nii,log_oiii,BPT class,abs_h_alpha_eqw,WHAN class,WISE class,AGN in all,n_e,log_MBH,mbh_bin
299520463770511360,0.09212417,9.526958,30.33166,6.191783,32.91386,120.0885,-16.85751,24.62576,16.54677,46.92726,0.2894513,0.3907722,14.982,14.75,11.015,0.2320004,3.735,-0.40807634008132054,-0.5384244955649315,Star-forming,16.85751,Star-forming,Other,False,-22.81727377829259,4.837082057642283,"(4.5, 5.0]"
299524586939115520,0.06248942,37.32424,79.13648,13.74299,83.53896,350.3976,-19.99756,71.99741,50.20187,129.4616,0.4467885,0.3694706,13.534,13.313,9.356,0.2210007,3.957,-0.4324201141453687,-0.3498980138259389,Star-forming,19.99756,Star-forming,Other,False,9.784056269722031,6.511333867567163,"(6.5, 7.0]"
299529534741440512,0.05217639,86.13953,81.74523,44.57067,266.446,1334.967,-36.2537,210.0699,146.9877,489.7381,0.3232907,0.3668542,12.803,12.539,8.263,0.2640009,4.276,-0.43550650445786593,-0.490406788418987,Star-forming,36.2537,Star-forming,Other,False,12.970440228799342,6.5679583462635,"(6.5, 7.0]"
299529809619347456,0.03070351,594.889,87.56316,28.95586,58.5244,307.6506,-7.988836,83.42992,67.1727,269.4241,10.1648,0.875747,12.366,12.202,9.028,0.1640005,3.174,-0.05762134174726947,1.0070988379911865,Seyfert,7.988836,Seyfert,Other,False,160.75949118077125,6.68799155035499,"(6.5, 7.0]"
299530909130975232,0.05248393,145.1758,184.8772,36.25033,218.4372,1031.952,-47.20582,133.5714,107.7979,284.6306,0.6646113,0.2758176,13.46,12.961,8.602,0.4989996,4.359,-0.5593780248207684,-0.1774322789376488,Star-forming,47.20582,Star-forming,Other,False,163.61820580746334,7.992730504728459,"(7.5, 8.0]"
299531733764696064,0.05354775,70.26048,71.87561,18.67075,83.58832,376.7933,-45.71288,82.11623,58.40382,107.1019,0.8405538,0.2842458,14.498,14.246,10.38,0.2519999,3.866,-0.5463059437037275,-0.0754344841336527,Star-forming,45.71288,Star-forming,Other,False,28.18137424008767,6.343317222382932,"(6.0, 6.5]"
299532008642603008,0.02170876,2956.007,31.34859,34.17805,663.3409,2255.693,-377.4541,164.4952,110.1759,85.94353,4.456241,0.03810072,15.288,15.186,11.443,0.1020002,3.743,-1.419066817262112,0.6489686700785698,Star-forming,377.4541,Star-forming,Other,False,-25.533578934280843,4.894655825130513,"(4.5, 5.0]"
299532558398416896,0.021758,780.1143,50.68575,59.05846,638.0527,2292.528,-56.84101,430.3535,299.6579,465.8451,1.222649,0.2032015,13.154,12.935,9.295,0.2189999,3.64,-0.6920730904859607,0.08730179698556303,Star-forming,56.84101,Star-forming,Other,False,8.521619035193,5.733500643609617,"(5.5, 6.0]"
299532833276323840,0.03645184,114.1467,43.64322,9.397298,36.18832,145.3708,-23.64526,43.39631,26.49167,73.52751,3.154241,0.5057927,14.614,14.611,10.669,0.003000259,3.942,-0.2960274430275893,0.4988948725602809,Seyfert,23.64526,Seyfert,Other,False,-97.86848211671213,5.472324894647961,"(5.0, 5.5]"
299541354491439104,0.09099656,15.99098,90.60096,7.836175,37.64988,168.7761,-16.67728,36.86018,22.56966,66.1244,0.4247286,0.3917878,14.144,13.969,10.804,0.1750002,3.165,-0.4069490917592827,-0.3718884938857466,Star-forming,16.67728,Star-forming,Other,False,-95.69389921428873,6.747533271212832,"(6.5, 7.0]"
299544103270508544,0.06265516,38.83449,66.77411,9.701359,119.7019,473.5915,-42.78307,92.08565,60.78732,144.3199,0.3244266,0.304735,14.729,14.299,10.852,0.4300003,3.447,-0.5160776625022164,-0.48888354484430574,Star-forming,42.78307,Star-forming,Other,False,-37.671221409508355,6.21478401251416,"(6.0, 6.5]"
299545202782136320,0.1432976,92.74484,186.3178,16.57689,15.58205,107.7912,-8.084357,39.80347,25.18388,90.28859,5.952031,0.8376247,13.841,13.466,10.504,0.375,2.962,-0.07695052460101363,0.7746651844823583,Seyfert,8.084357,Seyfert,Other,False,-71.33918381343504,8.00628189438985,"(8.0, 8.5]"
299546852049577984,0.1473114,1647.43,89.58996,18.41255,472.8501,1584.278,-437.3664,109.4629,92.22054,230.83,3.484044,0.1457005,16.096,15.355,10.796,0.7410011,4.559,-0.8365389578602888,0.5420836310763086,Star-forming,437.3664,Star-forming,Other,False,218.1723446760207,6.727941975035234,"(6.5, 7.0]"
299548501317019648,0.02165231,20.9408,19.85822,8.596091,33.48423,110.7399,-10.76173,36.06995,24.54501,25.88362,0.6253929,0.2337335,14.378,14.355,11.268,0.02300072,3.087,-0.6312790376185504,-0.203847053550912,Star-forming,10.76173,Star-forming,Other,False,-11.926263833714456,4.097579494718414,"(4.0, 4.5]"
299550150584461312,0.06259136,107.4063,72.19633,16.17338,194.5769,724.7258,-61.5685,119.1277,90.24107,229.4589,0.5519995,0.3166148,14.387,14.1,10.465,0.2869997,3.635,-0.499468788121473,-0.25806131565366214,Star-forming,61.5685,Star-forming,Other,False,91.52835809855999,6.351090205357973,"(6.0, 6.5]"
299550700340275200,0.1458226,130.8339,182.6936,66.43319,109.6307,850.1395,-70.00072,202.7181,165.0395,427.1596,1.193405,0.5024582,13.327,12.698,8.418,0.6289997,4.28,-0.29890006179688033,0.07678785307223257,Composite,70.00072,Seyfert,Other,False,174.32626892866347,7.971987218925711,"(7.5, 8.0]"
299551799851902976,0.06315506,179.6009,118.7077,24.92762,71.94472,323.6484,-15.36806,51.73793,39.6167,152.9478,2.496373,0.472574,13.923,13.713,11.427,0.21,2.286,-0.32553017599003375,0.3973094767391516,Composite,15.36806,Seyfert,Other,False,103.15058247607904,7.219264557126038,"(7.0, 7.5]"
299552349607716864,0.09768173,25.31132,104.5559,6.83234,57.52115,270.9315,-34.70731,51.00497,35.24282,88.04391,0.440035,0.3249674,14.426,14.262,10.376,0.1639996,3.886,-0.48816020428338924,-0.3565127787357648,Star-forming,34.70731,Star-forming,Other,False,1.5787496010319098,6.9976405671701665,"(6.5, 7.0]"
299552624485623808,0.09832241,27.63784,59.07893,9.307892,103.9028,486.8309,-41.86084,77.38689,56.07576,155.741,0.265997,0.3199078,14.004,13.822,9.654,0.1820002,4.167999,-0.49497517080785447,-0.5751232614546204,Star-forming,41.86084,Star-forming,Other,False,46.119549435283304,6.001018554034666,"(6.0, 6.5]"
299552899363530752,0.09113582,9.987125,73.08759,8.76641,53.21636,271.3318,-23.29278,41.75854,27.16348,96.59939,0.1876702,0.3560193,13.927,13.699,9.889,0.2279997,3.81,-0.4485264580487445,-0.7266046831752934,Star-forming,23.29278,Star-forming,Other,False,-49.622832161431276,6.372510856805699,"(6.0, 6.5]"
299553174241437696,0.1254306,60.51614,47.88796,5.808751,36.50489,141.8279,-80.24552,27.45204,16.09504,19.75354,1.657754,0.1392782,16.646,16.448,11.966,0.198,4.482,-0.8561168545782529,0.21952008449587382,Star-forming,80.24552,Star-forming,Other,False,-125.90992891031107,5.6343692911153855,"(5.5, 6.0]"
