RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
195.71049,11.30777,1696,244,53116,-23.15,45.345,0.002,42.42,0.02,1942.4,98.2,50.5,1.6,25.46,7.68,0.04,-0.43,1909593364492216320,0.2033559,1108.102,1177.4
195.89711,-0.82022,294,260,51986,-22.57,45.05,0.006,42.18,0.04,7081.5,352.0,61.5,6.0,17.75,8.65,0.04,-1.7,331086074187114496,0.2078367,131.7802,1177.4
196.07083,2.09364,524,165,52027,-23.45,45.394,0.002,42.2,0.11,1420.2,735.6,28.0,5.6,28.8,7.43,0.45,-0.13,590016940047624192,0.2284263,764.2011,1177.4
196.08885,17.31855,2603,200,54479,-22.56,44.962,0.004,42.19,0.03,5060.4,209.1,74.6,5.0,21.75,8.32,0.04,-1.45,2930772508237916160,0.1901163,269.8766,1177.4
196.09105,56.13811,1318,42,52781,-23.49,45.418,0.021,42.76,0.1,2766.9,202.3,96.0,18.0,23.98,8.02,0.06,-0.7,1483947668748134400,0.2985226,473.7039,1177.4
196.09535,20.91953,2650,207,54505,-22.61,45.101,0.005,42.45,0.03,5278.4,348.5,101.3,8.4,15.77,8.42,0.06,-1.42,2983691728441075712,0.2825699,152.3747,1177.4
196.13763,3.29984,524,531,52027,-22.38,45.016,0.005,42.17,0.02,2610.4,114.3,65.5,4.3,19.68,7.77,0.04,-0.85,590117545361565696,0.1853426,384.5011,1177.4
196.16957,38.60146,2018,534,53800,-22.56,44.854,0.004,42.11,0.02,5758.5,174.1,80.7,3.2,17.47,8.37,0.03,-1.62,2272212860564170752,0.2129434,203.2156,1177.4
196.21654,11.1335,1696,220,53116,-22.49,44.902,0.004,42.23,0.02,6194.9,288.1,99.8,4.3,19.59,8.46,0.04,-1.66,1909586767422449664,0.1691393,208.9556,1177.4
196.23715,13.47949,1696,445,53116,-23.25,45.321,0.007,42.15,0.04,2244.9,331.5,29.4,2.9,18.63,7.79,0.13,-0.57,1909648614951512064,0.2983111,216.2386,1177.4
196.2596,28.10027,2242,454,54153,-22.62,45.15,0.004,42.21,0.03,8844.9,637.2,53.3,4.8,18.73,8.89,0.06,-1.85,2524392455386720256,0.2761594,79.36034,748.3611
196.32014,26.21779,2242,253,54153,-22.58,45.118,0.003,42.09,0.03,2728.5,453.9,41.9,3.7,23.74,7.86,0.14,-0.84,2524337204927424512,0.1830579,589.2766,1177.4
196.35408,57.89919,1318,620,52781,-23.04,45.31,0.004,42.08,0.05,5609.5,1352.2,27.4,3.8,17.44,8.58,0.21,-1.37,1484106548178348032,0.2779047,89.90127,737.3558
196.3773,5.6643,849,590,52439,-22.86,45.196,0.002,42.27,0.02,6124.5,395.9,52.0,3.1,19.79,8.6,0.06,-1.5,956051239794141184,0.2001507,254.5732,836.2954
196.39371,18.3258,2603,443,54479,-22.77,45.056,0.002,42.26,0.02,4633.0,105.2,73.9,2.7,42.88,8.29,0.02,-1.33,2930839303569303552,0.1182318,1080.492,821.7822
196.46049,-1.3921,339,457,51692,-22.66,45.088,0.007,41.98,0.04,6933.4,2217.9,35.4,4.4,16.2,8.65,0.28,-1.67,381805716010199040,0.2500602,65.61485,189.9683
196.46461,46.08963,1459,225,53117,-22.53,45.046,0.006,42.29,0.02,5090.8,326.9,78.9,5.1,17.56,8.36,0.06,-1.42,1642749863907059712,0.2251981,141.1624,1177.4
196.57736,8.87818,1796,283,53884,-22.64,45.076,0.003,42.22,0.01,3192.2,95.6,61.2,2.4,22.96,7.97,0.03,-1.0,2022194088299751424,0.1716289,689.6315,1177.4
