specobjid,class,subclass,w1mpro,w2mpro,w3mpro,w1_w2_color,w2_w3_color,fwhm_hbeta,fwhm_oiii,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_eqw,h_beta_flux,h_beta_flux_err,h_beta_eqw,h_alpha_flux,h_alpha_flux_err,h_alpha_eqw,nii_6584_flux,nii_6584_flux_err,nii_6584_eqw,oiii_hbeta_ratio,nii_halpha_ratio
646392480119416832,GALAXY,STARBURST,11.803,11.567,7.208,0.2360001,4.359,227.4817,232.7492,603.2176,9.77308,-6.607478,1152.151,11.23137,-12.16042,4758.372,37.98169,-59.55775,1714.037,14.98945,-21.40423,0.5235578,0.3602149
646392480119416832,GALAXY,STARBURST,12.957,12.749,8.552,0.2080002,4.197,227.4817,232.7492,603.2176,9.77308,-6.607478,1152.151,11.23137,-12.16042,4758.372,37.98169,-59.55775,1714.037,14.98945,-21.40423,0.5235578,0.3602149
1184600674998970368,GALAXY,STARFORMING,10.703,10.568,6.537,0.1350002,4.031,235.5632,172.4481,150.7026,7.018599,-1.493976,207.0633,6.765995,-1.766472,988.1898,13.08463,-9.088919,435.4819,9.843412,-4.11952,0.7278093,0.4406865
403172252708792320,GALAXY,STARBURST,12.098,11.876,7.579,0.2219992,4.297,165.3532,147.8586,1747.754,16.27293,-21.30934,1590.645,14.55834,-18.80257,6157.592,40.9006,-102.8045,1430.799,11.60389,-24.76649,1.098771,0.2323634
403174451732047872,GALAXY,BROADLINE,11.06,11.127,9.926,-0.06699944,1.201,146.0573,203.7974,116.4139,8.2058,-1.01927,62.83074,6.525449,-0.3967335,176.267,9.942819,-1.231497,181.4158,10.78785,-1.118218,1.852817,1.02921
1434408626193197056,GALAXY,STARBURST,11.906,11.671,7.58,0.2350006,4.091,123.8575,123.0409,1805.494,19.6095,-18.21728,1681.112,16.88135,-16.38444,5893.5,46.30551,-83.56648,1230.225,12.35917,-17.32312,1.073987,0.2087426
1436805012457023488,GALAXY,STARBURST,12.837,12.806,10.293,0.03100014,2.513,99.33098,89.18425,2802.678,26.38851,-27.70698,921.8132,11.41701,-9.114666,2819.223,26.41372,-43.96246,210.3562,4.953124,-3.316121,3.040397,0.07461493
1184523709185026048,GALAXY,AGN,10.615,10.613,8.366,0.001999855,2.247,258.3747,284.3594,201.1432,9.649714,-1.695511,106.6309,8.183837,-0.7622561,432.9888,13.4877,-2.962051,737.5605,15.16398,-4.91392,1.88635,1.703417
1432293440598599680,GALAXY,BROADLINE,11.496,11.504,9.391,-0.00799942,2.113,377.9045,368.3216,45.82301,5.227215,-0.5728494,67.11811,5.159817,-0.7104126,287.9997,8.212337,-2.923056,200.7984,7.591055,-2.007159,0.682722,0.6972175
2551430812750866432,GALAXY,STARFORMING,12.287,12.319,9.176,-0.03200054,3.143001,127.5552,214.3436,32.74794,3.042143,-0.7523438,66.30264,2.643072,-1.186468,276.1074,4.341999,-5.815389,184.4022,4.166297,-3.808949,0.4939162,0.6678639
2551441532989237248,GALAXY,STARFORMING,12.443,12.374,9.061,0.06900024,3.313,229.5764,287.8671,52.36721,3.918492,-0.9296368,80.34161,3.396844,-1.082809,379.9902,6.228052,-6.393038,251.7317,5.793656,-4.098002,0.6518068,0.6624689
2551441532989237248,GALAXY,STARFORMING,13.022,12.939,9.651,0.08300018,3.288,229.5764,287.8671,52.36721,3.918492,-0.9296368,80.34161,3.396844,-1.082809,379.9902,6.228052,-6.393038,251.7317,5.793656,-4.098002,0.6518068,0.6624689
2553597950219544576,GALAXY,STARBURST,13.301,13.258,9.956,0.04299927,3.302,117.9451,108.1176,1533.011,14.98869,-19.33957,749.3788,8.545527,-8.894511,2399.174,18.99033,-46.02093,395.547,5.479689,-7.692688,2.04571,0.164868
672239519621212160,GALAXY,STARFORMING,10.781,10.761,7.661,0.02000046,3.1,204.7778,144.7333,60.79649,6.679333,-0.4095214,294.4742,7.135277,-2.541159,1228.359,12.99889,-11.38466,431.5605,9.171618,-4.07823,0.2064578,0.3513309
675686218024904704,GALAXY,STARFORMING,11.757,11.617,8.072,0.1400003,3.545,252.2978,310.1866,95.73929,7.555988,-0.8889273,464.6168,8.678604,-3.80488,2202.99,23.74573,-19.22624,1139.376,14.34409,-9.879272,0.2060608,0.5171953
673306325089806336,GALAXY,STARBURST,11.07,10.717,6.469,0.3529997,4.248,175.5817,175.7888,3080.588,32.81079,-18.41899,3205.989,30.99526,-18.73399,13448.1,100.0445,-97.88689,3111.568,27.84476,-22.5031,0.9608855,0.2313761
933543959496517632,GALAXY,BROADLINE,11.151,11.245,10.055,-0.09399986,1.19,387.0762,386.3865,185.8391,8.865283,-1.549153,87.85116,8.201504,-0.6448516,301.3992,13.78769,-1.995646,354.0273,12.78178,-2.407461,2.115386,1.174613
933518945606985728,GALAXY,BROADLINE,11.086,11.158,10.027,-0.07199955,1.131,390.4858,447.1361,135.2912,10.07629,-0.9637863,57.726,8.462882,-0.3299994,237.143,14.64931,-1.541711,336.6105,15.52488,-1.986504,2.343679,1.419441
936881527311067136,GALAXY,STARFORMING BROADLINE,10.876,10.89,7.5,-0.01399994,3.39,113.7536,125.1207,95.53978,5.999784,-0.8984432,182.9406,5.835137,-1.673303,701.7808,13.75308,-6.956735,310.6591,9.172251,-3.12161,0.5222447,0.4426725
936894171694786560,GALAXY,STARFORMING BROADLINE,11.319,11.422,9.693,-0.1029997,1.729,380.6963,382.6771,186.219,9.581195,-1.727854,145.7126,8.185835,-1.175704,571.0969,13.79272,-5.283143,308.3112,12.03454,-2.738259,1.277988,0.539858
