specobjid,class,subclass,fwhm_hbeta,fwhm_oiii,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_eqw,h_beta_flux,h_beta_flux_err,h_beta_eqw,h_alpha_flux,h_alpha_flux_err,h_alpha_eqw,nii_6584_flux,nii_6584_flux_err,nii_6584_eqw,oiii_hbeta_ratio,nii_halpha_ratio
1616840421097367552,GALAXY,STARBURST,184.3785,221.263,824.7408,15.80601,-6.283529,1229.181,16.46846,-8.292026,5408.188,46.87559,-46.65139,3118.909,25.91879,-26.77517,0.6709676,0.5767012
1812747831031654400,GALAXY,BROADLINE,420.8448,378.7528,118.0305,10.6608,-0.859347,79.87676,10.28835,-0.5761778,212.322,15.76878,-1.284699,242.9499,15.35538,-1.385992,1.477658,1.144252
1917549442089641984,GALAXY,BROADLINE,314.7826,357.6963,585.2499,16.65565,-3.737972,96.83932,10.87178,-0.6136293,287.0373,17.05519,-1.662901,278.4561,16.48565,-1.603012,6.043515,0.970104
1918579399188310016,GALAXY,,458.5557,329.1434,173.5757,10.99185,-1.07344,99.20873,11.18472,-0.6802334,136.9855,14.39569,-0.6471314,136.0948,12.36547,-0.6957318,1.749601,0.9934972
1918590669182494720,GALAXY,STARBURST,118.225,104.0876,11558.62,65.07277,-88.31824,3412.249,22.70133,-25.3453,10021.19,57.45699,-126.108,880.2357,7.98637,-11.11771,3.38739,0.08783742
1961444682533726208,GALAXY,STARBURST,130.7561,141.1692,360.2298,8.372718,-4.082895,1132.099,13.57116,-11.85913,4102.184,32.12367,-64.59483,1350.743,13.25937,-21.70859,0.3181963,0.329274
2009835586914904064,GALAXY,BROADLINE,266.829,217.6332,157.5523,13.71316,-0.6293815,103.9542,12.0442,-0.5355914,386.7274,24.34729,-1.278517,454.2625,25.35846,-1.539349,1.515593,1.174632
2009900458100942848,GALAXY,STARBURST,273.2801,259.1459,2876.047,31.42904,-16.20506,2037.056,24.42722,-10.83931,9504.388,75.10806,-45.63308,3954.461,36.88274,-17.84107,1.411865,0.4160669
2107783088707758080,GALAXY,BROADLINE,389.8892,349.2805,106.9262,7.678758,-1.078375,38.71738,6.814003,-0.2536111,207.8772,11.38772,-1.872894,318.041,11.24036,-2.659759,2.761711,1.529946
2112230081572136960,GALAXY,,294.6019,307.8322,70.05108,5.374682,-0.8080513,33.80684,4.978065,-0.1982774,159.3696,6.761344,-1.643241,202.9392,6.735823,-1.986092,2.072098,1.273387
2112312544944220160,GALAXY,STARFORMING,170.2464,228.6232,56.02723,4.856888,-0.4935824,142.3694,4.736556,-1.020074,586.373,8.341527,-4.906971,383.2055,7.901463,-3.330195,0.3935342,0.6535183
2112349378583750656,GALAXY,STARBURST,238.9745,230.3059,13021.97,62.8258,-81.65446,4448.987,25.96056,-27.08089,14187.44,65.54818,-101.2347,1680.922,13.41255,-11.87972,2.92695,0.1184796
2179747773073614848,GALAXY,STARBURST,223.5761,204.2223,3722.328,32.88968,-37.26626,2066.184,19.86902,-19.95253,7557.503,55.66848,-110.9303,1671.147,14.98096,-24.36147,1.801547,0.2211242
2179888235684063232,GALAXY,AGN,291.2661,346.2973,179.2619,8.780711,-1.795287,105.9366,7.397061,-0.8166134,422.9784,13.20694,-3.586611,691.1412,14.84767,-5.504364,1.692162,1.633987
2179902529335224320,GALAXY,AGN BROADLINE,424.8416,453.3683,124.6991,10.05816,-1.050066,148.1255,9.36533,-1.197663,854.4304,20.11884,-5.664032,658.5085,18.8017,-4.167481,0.8418476,0.7706989
2179906377625921536,GALAXY,STARFORMING BROADLINE,394.1537,446.0292,264.8692,19.62423,-1.047361,538.125,17.41739,-1.965657,3547.048,43.28188,-13.67225,2276.76,36.5602,-8.472777,0.4922076,0.6418747
2232682113004496896,GALAXY,STARFORMING,124.4378,114.3561,1355.455,19.13052,-10.29782,811.5004,12.39781,-6.133001,2749.054,25.41222,-28.89338,568.36,10.35114,-6.105269,1.670307,0.2067474
2232732965417281536,GALAXY,STARFORMING,116.797,130.5958,284.6534,9.465399,-2.304262,727.3481,11.77892,-5.722704,2336.337,24.27953,-25.4647,805.7728,11.60823,-8.716022,0.3913579,0.3448873
2233797567399880704,GALAXY,AGN BROADLINE,237.0105,301.0178,140.0379,10.10264,-1.120221,121.418,8.558307,-0.7633098,384.743,14.45715,-2.672366,350.5291,14.18556,-2.363683,1.153354,0.9110734
2283442997754357760,GALAXY,AGN,202.6659,225.9588,808.1348,9.889027,-11.1811,386.4137,6.340352,-5.129019,1573.917,14.49673,-21.04774,1189.114,11.2457,-15.62047,2.091372,0.7555129
2383626653969442816,GALAXY,AGN,337.4621,474.2997,4433.455,34.14847,-34.74799,569.2051,10.84045,-4.535793,2661.47,27.18819,-20.36178,1745.936,21.51038,-12.39204,7.788854,0.6560043
2429795698552629248,GALAXY,AGN BROADLINE,146.24,194.5245,88.93002,6.141963,-0.918745,94.80769,4.946017,-0.7177742,350.2201,8.664713,-3.162057,311.5451,9.26956,-2.781141,0.9380043,0.8895696
2475887489911384064,GALAXY,AGN BROADLINE,394.0903,380.8785,91.32575,9.3468,-0.6959571,59.40524,8.636283,-0.4675936,181.6204,13.84243,-1.209565,300.6671,14.71106,-1.998343,1.537335,1.65547
2477101081222473728,GALAXY,STARFORMING,146.1805,278.1344,226.585,8.71481,-2.117639,776.2769,11.18699,-5.509176,3296.398,46.97342,-27.30308,1894.952,18.14174,-15.39613,0.2918869,0.5748554
2478134347761215488,GALAXY,BROADLINE,476.6565,428.8215,116.2104,8.639659,-1.052225,62.44405,8.330051,-0.5897726,227.8456,14.13984,-1.657503,271.7705,13.09125,-1.938819,1.861033,1.192783
2521035364345341952,GALAXY,BROADLINE,187.3043,203.0586,100.8902,5.283603,-1.240978,32.42779,4.099648,-0.4376701,86.78221,5.780324,-1.035579,108.0469,6.009108,-1.209037,3.111226,1.245035
2522125531751671808,GALAXY,AGN BROADLINE,476.9947,316.7215,74.52492,7.449596,-0.7809249,101.1698,7.674683,-1.05528,257.6749,11.71602,-2.22121,157.1478,10.44042,-1.459143,0.7366319,0.6098685
2522154943687714816,GALAXY,AGN BROADLINE,339.5061,377.9279,56.32207,7.017943,-0.6048762,77.65857,6.740024,-0.7632278,286.9741,11.29138,-2.251171,226.6727,11.21441,-1.844591,0.7252526,0.7898716
2522158791978412032,GALAXY,STARFORMING BROADLINE,258.1243,316.3924,92.66433,9.715348,-0.5159061,203.3089,8.565902,-0.8026338,980.7279,17.17576,-5.496538,586.5858,16.03173,-3.309324,0.4557809,0.5981126
2523231921132038144,GALAXY,BROADLINE,217.1724,214.992,47.56027,7.517478,-0.5959548,46.39805,7.226558,-0.6267865,116.3672,11.28156,-0.799781,126.2191,11.6147,-0.9068125,1.025049,1.084662
2523303939143657472,GALAXY,,213.534,260.7035,33.23483,6.573729,-0.3804748,67.97672,6.458127,-0.6776488,204.4795,10.56487,-1.549987,154.8549,10.79103,-1.243425,0.4889149,0.7573126
2523306138166913024,GALAXY,BROADLINE,145.532,170.6747,253.7464,7.799125,-2.655851,43.39046,4.037429,-0.372349,117.6491,5.44602,-2.054363,253.228,7.074332,-3.350845,5.847978,2.152401
2571600804293142528,GALAXY,BROADLINE,199.4191,212.8257,462.0355,16.38534,-2.306564,114.9231,14.64674,-0.3976048,350.5398,18.81114,-1.56762,386.3233,18.88319,-1.661019,4.020389,1.102081
